remates;remates_al_arco;posesion;faltas;tarjetas_amarillas;tarjetas_rojas;posicion_adelantada;tiros_de_esquina;gano;pais
14;4;65%;8;0;0;2;4;2;1
8;4;39%;17;1;1;3;2;2;1
9;1;67%;17;1;0;0;2;1;1
2;1;33%;20;3;0;3;1;1;1
16;6;37%;12;4;1;4;4;2;1
19;4;60%;18;3;0;4;1;2;2
11;3;52%;13;0;0;3;6;0;2
13;5;32%;7;4;0;3;4;1;2
16;8;25%;9;1;0;1;6;2;2
25;10;71%;12;0;0;3;9;2;2
